order_id,customer_id,material_id,qty,status,region,created_on
SO-0049,C-013,MAT-0118,28,Open,North,2026-08-11 20:04:33
SO-0050,C-008,MAT-0102,59,Cancelled,Central,2026-08-11 20:04:22
SO-0051,C-010,MAT-0335,80,Open,West,2026-08-11 20:03:20
SO-0052,C-056,MAT-0151,80,Closed,West,2026-08-11 20:02:16
SO-0053,C-008,MAT-0383,22,Closed,West,2026-08-11 20:03:47
SO-0054,C-076,MAT-0007,34,Closed,East,2026-08-11 20:04:34
SO-0055,C-016,MAT-0450,11,Cancelled,West,2026-08-11 20:03:55
SO-0056,C-002,MAT-0415,60,Closed,North,2026-08-11 20:03:00
SO-0057,C-044,MAT-0393,74,Open,Central,2026-08-11 20:03:33
SO-0058,C-044,MAT-0038,42,Closed,East,2026-08-11 20:02:14
SO-0059,C-066,MAT-0485,81,Open,West,2026-08-11 20:04:12
SO-0060,C-074,MAT-0401,77,Closed,South,2026-08-11 20:02:42
SO-0061,C-096,MAT-0071,34,Closed,West,2026-08-11 20:04:39
SO-0062,C-097,MAT-0097,13,Closed,North,2026-08-11 20:04:06
SO-0063,C-039,MAT-0275,34,Open,North,2026-08-11 20:04:46
SO-0064,C-093,MAT-0167,90,Cancelled,Central,2026-08-11 20:03:05
SO-0065,C-075,MAT-0162,46,Open,North,2026-08-11 20:03:31
SO-0066,C-078,MAT-0202,95,Closed,East,2026-08-11 20:03:49
SO-0067,C-100,MAT-0172,59,Closed,Central,2026-08-11 20:04:59
SO-0068,C-009,MAT-0401,40,Cancelled,North,2026-08-11 20:02:25
SO-0069,C-028,MAT-0354,2,Open,North,2026-08-11 20:04:10
SO-0070,C-056,MAT-0049,89,Closed,Central,2026-08-11 20:04:37
SO-0071,C-081,MAT-0171,47,Cancelled,North,2026-08-11 20:02:32
SO-0072,C-080,MAT-0067,14,Open,East,2026-08-11 20:04:55
SO-0073,C-096,MAT-0112,57,Cancelled,Central,2026-08-11 20:02:08
SO-0074,C-031,MAT-0499,75,Closed,West,2026-08-11 20:03:20
SO-0075,C-010,MAT-0143,84,Closed,South,2026-08-11 20:04:59
SO-0076,C-060,MAT-0306,36,Open,East,2026-08-11 20:04:52
SO-0077,C-016,MAT-0150,47,Cancelled,North,2026-08-11 20:03:26
SO-0078,C-069,MAT-0215,99,Closed,South,2026-08-11 20:03:24
SO-0079,C-072,MAT-0103,27,Open,West,2026-08-11 20:03:12
SO-0080,C-065,MAT-0080,40,Closed,East,2026-08-11 20:02:23
SO-0081,C-009,MAT-0408,50,Open,East,2026-08-11 20:02:29
SO-0082,C-025,MAT-0452,32,Cancelled,Central,2026-08-11 20:04:31
SO-0083,C-097,MAT-0310,41,Open,Central,2026-08-11 20:03:11
SO-0084,C-073,MAT-0284,82,Closed,East,2026-08-11 20:02:00
SO-0085,C-061,MAT-0292,61,Cancelled,North,2026-08-11 20:04:10
SO-0086,C-085,MAT-0433,94,Open,Central,2026-08-11 20:04:42
SO-0087,C-065,MAT-0237,64,Open,East,2026-08-11 20:03:44
SO-0088,C-045,MAT-0075,77,Open,Central,2026-08-11 20:02:20
SO-0089,C-070,MAT-0070,33,Closed,South,2026-08-11 20:02:34
SO-0090,C-008,MAT-0026,41,Open,East,2026-08-11 20:04:22
SO-0091,C-023,MAT-0473,79,Closed,West,2026-08-11 20:03:16
SO-0092,C-063,MAT-0454,34,Closed,West,2026-08-11 20:04:55
SO-0093,C-035,MAT-0241,3,Open,Central,2026-08-11 20:02:10
SO-0094,C-026,MAT-0421,79,Closed,North,2026-08-11 20:03:15
SO-0095,C-060,MAT-0451,86,Open,West,2026-08-11 20:04:48
SO-0096,C-024,MAT-0099,26,Closed,East,2026-08-11 20:03:07
SO-0097,C-050,MAT-0205,97,Open,North,2026-08-11 20:03:40
SO-0098,C-004,MAT-0178,62,Open,Central,2026-08-11 20:04:16
SO-0099,C-049,MAT-0166,33,Closed,West,2026-08-11 20:04:10
SO-0100,C-078,MAT-0205,95,Cancelled,West,2026-08-11 20:02:52
SO-0101,C-080,MAT-0137,87,Closed,North,2026-08-11 20:03:06
SO-0102,C-010,MAT-0461,60,Closed,West,2026-08-11 20:02:03
SO-0103,C-091,MAT-0028,92,Open,West,2026-08-11 20:04:01
SO-0104,C-035,MAT-0458,49,Cancelled,West,2026-08-11 20:03:52
SO-0105,C-003,MAT-0406,93,Open,Central,2026-08-11 20:03:36
SO-0106,C-003,MAT-0327,12,Open,Central,2026-08-11 20:04:48
SO-0107,C-030,MAT-0136,37,Closed,East,2026-08-11 20:03:46
SO-0108,C-014,MAT-0209,37,Cancelled,South,2026-08-11 20:04:37
SO-0109,C-022,MAT-0246,30,Closed,North,2026-08-11 20:03:35
SO-0110,C-061,MAT-0047,39,Closed,South,2026-08-11 20:03:13
SO-0111,C-007,MAT-0425,20,Closed,West,2026-08-11 20:03:58
SO-0112,C-041,MAT-0378,24,Closed,North,2026-08-11 20:04:45
SO-0113,C-074,MAT-0374,91,Open,South,2026-08-11 20:03:21
SO-0114,C-092,MAT-0272,17,Cancelled,Central,2026-08-11 20:02:43
SO-0115,C-062,MAT-0192,25,Cancelled,South,2026-08-11 20:02:16
SO-0116,C-003,MAT-0280,9,Closed,East,2026-08-11 20:04:36
SO-0117,C-032,MAT-0163,48,Open,East,2026-08-11 20:03:55
SO-0118,C-071,MAT-0030,35,Cancelled,East,2026-08-11 20:02:08
SO-0119,C-031,MAT-0374,29,Open,South,2026-08-11 20:03:01
SO-0120,C-033,MAT-0278,45,Cancelled,Central,2026-08-11 20:02:02
SO-0121,C-036,MAT-0294,73,Open,West,2026-08-11 20:01:59
SO-0122,C-014,MAT-0223,76,Cancelled,South,2026-08-11 20:03:39
SO-0123,C-008,MAT-0458,92,Open,North,2026-08-11 20:04:11
SO-0124,C-087,MAT-0371,100,Open,East,2026-08-11 20:04:03
SO-0125,C-053,MAT-0385,77,Closed,North,2026-08-11 20:03:56
SO-0126,C-039,MAT-0376,59,Closed,West,2026-08-11 20:04:51
SO-0127,C-069,MAT-0272,81,Open,Central,2026-08-11 20:04:29
SO-0128,C-065,MAT-0158,76,Open,Central,2026-08-11 20:02:07
SO-0129,C-001,MAT-0127,82,Closed,South,2026-08-11 20:03:58
SO-0130,C-068,MAT-0043,25,Cancelled,West,2026-08-11 20:03:02
SO-0131,C-086,MAT-0057,65,Closed,East,2026-08-11 20:03:59
SO-0132,C-021,MAT-0183,21,Open,South,2026-08-11 20:04:51
SO-0133,C-080,MAT-0119,97,Cancelled,West,2026-08-11 20:02:09
SO-0134,C-059,MAT-0384,83,Closed,West,2026-08-11 20:02:36
SO-0135,C-032,MAT-0373,36,Closed,East,2026-08-11 20:02:03
SO-0136,C-019,MAT-0445,86,Closed,North,2026-08-11 20:04:46
SO-0137,C-086,MAT-0081,96,Cancelled,West,2026-08-11 20:04:14
SO-0138,C-027,MAT-0342,43,Closed,North,2026-08-11 20:02:12
SO-0139,C-042,MAT-0172,9,Open,Central,2026-08-11 20:02:57
SO-0140,C-056,MAT-0200,26,Closed,West,2026-08-11 20:04:08
SO-0141,C-094,MAT-0235,49,Open,South,2026-08-11 20:04:25
SO-0142,C-075,MAT-0085,37,Open,West,2026-08-11 20:04:38
SO-0143,C-069,MAT-0421,52,Closed,East,2026-08-11 20:02:56
SO-0144,C-077,MAT-0297,57,Closed,North,2026-08-11 20:03:44
SO-0145,C-032,MAT-0148,50,Cancelled,North,2026-08-11 20:04:26
SO-0146,C-016,MAT-0186,1,Cancelled,West,2026-08-11 20:02:57
SO-0147,C-084,MAT-0032,59,Cancelled,Central,2026-08-11 20:04:16
SO-0148,C-006,MAT-0363,83,Closed,Central,2026-08-11 20:02:31
SO-0149,C-082,MAT-0237,70,Closed,South,2026-08-11 20:02:13
SO-0150,C-042,MAT-0026,52,Closed,Central,2026-08-11 20:02:17
SO-0151,C-071,MAT-0400,15,Open,East,2026-08-11 20:03:04
SO-0152,C-016,MAT-0349,69,Open,South,2026-08-11 20:04:02
SO-0153,C-014,MAT-0379,57,Open,Central,2026-08-11 20:03:56
SO-0154,C-096,MAT-0299,48,Cancelled,West,2026-08-11 20:02:25
SO-0155,C-067,MAT-0147,5,Closed,South,2026-08-11 20:02:38
SO-0156,C-036,MAT-0158,11,Closed,South,2026-08-11 20:03:27
SO-0157,C-074,MAT-0105,16,Cancelled,West,2026-08-11 20:04:25
SO-0158,C-025,MAT-0314,57,Open,North,2026-08-11 20:04:45
SO-0159,C-089,MAT-0229,99,Cancelled,Central,2026-08-11 20:03:52
SO-0160,C-027,MAT-0373,61,Closed,West,2026-08-11 20:04:13
SO-0161,C-031,MAT-0176,95,Closed,North,2026-08-11 20:03:27
SO-0162,C-060,MAT-0430,22,Open,East,2026-08-11 20:03:00
SO-0163,C-023,MAT-0219,29,Open,North,2026-08-11 20:02:46
SO-0164,C-074,MAT-0228,99,Closed,North,2026-08-11 20:03:15
SO-0165,C-073,MAT-0440,94,Cancelled,Central,2026-08-11 20:04:41
SO-0166,C-073,MAT-0028,48,Closed,North,2026-08-11 20:04:53
SO-0167,C-069,MAT-0476,34,Closed,North,2026-08-11 20:04:01
SO-0168,C-002,MAT-0083,51,Closed,South,2026-08-11 20:04:29
SO-0169,C-065,MAT-0273,78,Closed,Central,2026-08-11 20:03:25
SO-0170,C-084,MAT-0282,55,Closed,Central,2026-08-11 20:03:32
SO-0171,C-095,MAT-0429,22,Open,North,2026-08-11 20:02:47
SO-0172,C-004,MAT-0432,72,Open,South,2026-08-11 20:02:03
SO-0173,C-044,MAT-0444,88,Cancelled,West,2026-08-11 20:02:28
SO-0174,C-042,MAT-0433,98,Closed,South,2026-08-11 20:02:52
SO-0175,C-026,MAT-0382,95,Open,Central,2026-08-11 20:02:46
SO-0176,C-053,MAT-0018,6,Closed,North,2026-08-11 20:02:24
SO-0177,C-076,MAT-0063,58,Closed,Central,2026-08-11 20:03:49
SO-0178,C-095,MAT-0400,15,Open,West,2026-08-11 20:03:23
SO-0179,C-011,MAT-0310,53,Closed,North,2026-08-11 20:04:42
SO-0180,C-066,MAT-0494,27,Closed,Central,2026-08-11 20:02:05
SO-0181,C-061,MAT-0192,22,Closed,North,2026-08-11 20:03:36
SO-0182,C-042,MAT-0067,34,Open,North,2026-08-11 20:04:34
SO-0183,C-080,MAT-0113,47,Open,Central,2026-08-11 20:02:32
SO-0184,C-098,MAT-0046,17,Closed,Central,2026-08-11 20:03:24
SO-0185,C-037,MAT-0247,79,Open,North,2026-08-11 20:02:25
SO-0186,C-059,MAT-0416,30,Open,East,2026-08-11 20:02:52
SO-0187,C-040,MAT-0152,52,Cancelled,South,2026-08-11 20:03:22
SO-0188,C-034,MAT-0460,17,Cancelled,South,2026-08-11 20:04:55
SO-0189,C-051,MAT-0088,46,Cancelled,South,2026-08-11 20:02:20
SO-0190,C-004,MAT-0222,52,Open,South,2026-08-11 20:02:39
SO-0191,C-004,MAT-0407,12,Closed,South,2026-08-11 20:04:01
SO-0192,C-099,MAT-0018,99,Cancelled,North,2026-08-11 20:02:50
SO-0193,C-001,MAT-0020,22,Closed,Central,2026-08-11 20:02:28
SO-0194,C-095,MAT-0235,27,Open,South,2026-08-11 20:04:21
SO-0195,C-077,MAT-0018,76,Cancelled,North,2026-08-11 20:02:06
SO-0196,C-097,MAT-0295,25,Cancelled,East,2026-08-11 20:04:38
SO-0197,C-036,MAT-0079,85,Open,South,2026-08-11 20:03:53
SO-0198,C-055,MAT-0340,94,Cancelled,West,2026-08-11 20:02:22
SO-0199,C-084,MAT-0293,98,Cancelled,East,2026-08-11 20:02:06
SO-0200,C-010,MAT-0137,41,Closed,South,2026-08-11 20:03:27
SO-0201,C-012,MAT-0313,67,Open,East,2026-08-11 20:04:58
SO-0202,C-011,MAT-0490,20,Cancelled,West,2026-08-11 20:02:34
SO-0203,C-031,MAT-0379,81,Cancelled,East,2026-08-11 20:04:00
SO-0204,C-031,MAT-0199,91,Closed,North,2026-08-11 20:02:29
SO-0205,C-090,MAT-0367,37,Cancelled,North,2026-08-11 20:02:20
SO-0206,C-062,MAT-0018,41,Cancelled,East,2026-08-11 20:02:32
SO-0207,C-026,MAT-0418,12,Closed,Central,2026-08-11 20:02:59
SO-0208,C-078,MAT-0362,41,Open,Central,2026-08-11 20:04:55
SO-0209,C-016,MAT-0101,44,Open,Central,2026-08-11 20:02:38
SO-0210,C-014,MAT-0003,82,Open,North,2026-08-11 20:04:43
SO-0211,C-028,MAT-0120,27,Cancelled,West,2026-08-11 20:03:48
SO-0212,C-035,MAT-0260,11,Cancelled,Central,2026-08-11 20:04:59
SO-0213,C-019,MAT-0013,15,Closed,North,2026-08-11 20:02:02
SO-0214,C-051,MAT-0329,40,Open,South,2026-08-11 20:02:44
SO-0215,C-034,MAT-0140,16,Cancelled,Central,2026-08-11 20:02:04
SO-0216,C-077,MAT-0096,46,Closed,West,2026-08-11 20:02:27
SO-0217,C-024,MAT-0123,89,Closed,South,2026-08-11 20:04:53
SO-0218,C-095,MAT-0493,9,Closed,North,2026-08-11 20:03:29
SO-0219,C-086,MAT-0026,28,Open,North,2026-08-11 20:02:38
SO-0220,C-081,MAT-0368,93,Open,West,2026-08-11 20:02:43
SO-0221,C-088,MAT-0348,19,Closed,North,2026-08-11 20:04:39
SO-0222,C-005,MAT-0352,92,Closed,East,2026-08-11 20:04:02
SO-0223,C-078,MAT-0219,48,Closed,North,2026-08-11 20:04:29
SO-0224,C-097,MAT-0268,83,Open,South,2026-08-11 20:03:32
SO-0225,C-018,MAT-0191,40,Closed,South,2026-08-11 20:04:29
SO-0226,C-087,MAT-0301,55,Closed,West,2026-08-11 20:04:22
SO-0227,C-098,MAT-0474,31,Cancelled,West,2026-08-11 20:04:36
SO-0228,C-047,MAT-0485,59,Cancelled,East,2026-08-11 20:04:26
SO-0229,C-027,MAT-0291,53,Open,East,2026-08-11 20:04:30
SO-0230,C-097,MAT-0048,48,Cancelled,East,2026-08-11 20:04:17
SO-0231,C-024,MAT-0269,57,Cancelled,West,2026-08-11 20:02:20
SO-0232,C-049,MAT-0451,34,Closed,North,2026-08-11 20:02:24
SO-0233,C-099,MAT-0023,17,Open,West,2026-08-11 20:02:56
SO-0234,C-085,MAT-0397,77,Cancelled,East,2026-08-11 20:02:49
SO-0235,C-040,MAT-0068,15,Open,North,2026-08-11 20:04:25
SO-0236,C-031,MAT-0008,28,Open,North,2026-08-11 20:03:12
SO-0237,C-095,MAT-0010,53,Closed,North,2026-08-11 20:04:03
SO-0238,C-084,MAT-0459,16,Open,West,2026-08-11 20:04:07
SO-0239,C-087,MAT-0180,74,Cancelled,Central,2026-08-11 20:04:44
SO-0240,C-077,MAT-0305,64,Cancelled,South,2026-08-11 20:02:05
SO-0241,C-004,MAT-0225,41,Open,West,2026-08-11 20:02:46
SO-0242,C-010,MAT-0140,12,Cancelled,West,2026-08-11 20:03:23
SO-0243,C-066,MAT-0394,20,Closed,North,2026-08-11 20:03:26
SO-0244,C-055,MAT-0420,54,Open,Central,2026-08-11 20:03:25
SO-0245,C-019,MAT-0149,66,Open,North,2026-08-11 20:03:07
SO-0246,C-028,MAT-0296,84,Open,Central,2026-08-11 20:04:32
SO-0247,C-038,MAT-0412,82,Closed,Central,2026-08-11 20:02:31
SO-0248,C-065,MAT-0425,52,Open,Central,2026-08-11 20:02:53
SO-0249,C-029,MAT-0145,76,Open,West,2026-08-11 20:02:19
SO-0250,C-082,MAT-0483,39,Closed,South,2026-08-11 20:02:36
SO-0251,C-045,MAT-0457,84,Open,North,2026-08-11 20:03:55
SO-0252,C-056,MAT-0435,3,Closed,North,2026-08-11 20:03:08
SO-0253,C-031,MAT-0095,56,Closed,North,2026-08-11 20:03:10
SO-0254,C-048,MAT-0373,80,Cancelled,South,2026-08-11 20:04:26
SO-0255,C-075,MAT-0019,94,Open,South,2026-08-11 20:03:07
SO-0256,C-007,MAT-0057,68,Cancelled,North,2026-08-11 20:03:37
SO-0257,C-072,MAT-0298,73,Closed,South,2026-08-11 20:04:46
SO-0258,C-053,MAT-0462,77,Cancelled,South,2026-08-11 20:03:15
SO-0259,C-011,MAT-0132,20,Open,North,2026-08-11 20:03:07
SO-0260,C-020,MAT-0264,93,Cancelled,Central,2026-08-11 20:03:28
SO-0261,C-012,MAT-0162,43,Closed,South,2026-08-11 20:02:20
SO-0262,C-090,MAT-0206,22,Closed,East,2026-08-11 20:02:03
SO-0263,C-091,MAT-0376,1,Cancelled,Central,2026-08-11 20:04:06
SO-0264,C-028,MAT-0113,93,Open,East,2026-08-11 20:02:49
SO-0265,C-016,MAT-0182,29,Cancelled,South,2026-08-11 20:02:18
SO-0266,C-002,MAT-0054,89,Closed,East,2026-08-11 20:02:36
SO-0267,C-023,MAT-0263,52,Open,South,2026-08-11 20:04:20
SO-0268,C-092,MAT-0201,35,Cancelled,Central,2026-08-11 20:03:44
SO-0269,C-100,MAT-0411,59,Closed,East,2026-08-11 20:03:57
SO-0270,C-068,MAT-0356,79,Closed,North,2026-08-11 20:04:00
SO-0271,C-057,MAT-0170,50,Cancelled,Central,2026-08-11 20:03:52
SO-0272,C-041,MAT-0205,74,Open,South,2026-08-11 20:04:18
SO-0273,C-069,MAT-0498,99,Cancelled,West,2026-08-11 20:02:17
SO-0274,C-040,MAT-0188,37,Closed,West,2026-08-11 20:03:18
SO-0275,C-077,MAT-0038,49,Cancelled,Central,2026-08-11 20:02:13
SO-0276,C-002,MAT-0481,61,Closed,South,2026-08-11 20:02:52
SO-0277,C-092,MAT-0433,16,Cancelled,Central,2026-08-11 20:02:53
SO-0278,C-094,MAT-0053,14,Closed,South,2026-08-11 20:03:47
SO-0279,C-037,MAT-0117,64,Closed,Central,2026-08-11 20:02:33
SO-0280,C-007,MAT-0075,77,Cancelled,West,2026-08-11 20:03:29
SO-0281,C-019,MAT-0469,24,Open,East,2026-08-11 20:03:01
SO-0282,C-002,MAT-0338,2,Closed,North,2026-08-11 20:02:06
SO-0283,C-092,MAT-0333,77,Closed,Central,2026-08-11 20:02:10
SO-0284,C-057,MAT-0410,53,Cancelled,West,2026-08-11 20:03:41
SO-0285,C-082,MAT-0335,69,Cancelled,West,2026-08-11 20:04:55
SO-0286,C-003,MAT-0145,48,Open,Central,2026-08-11 20:02:41
SO-0287,C-083,MAT-0388,14,Cancelled,East,2026-08-11 20:04:17
SO-0288,C-091,MAT-0039,76,Open,West,2026-08-11 20:04:25
SO-0289,C-083,MAT-0042,79,Open,Central,2026-08-11 20:02:23
SO-0290,C-036,MAT-0273,91,Open,South,2026-08-11 20:04:32
SO-0291,C-078,MAT-0300,80,Cancelled,West,2026-08-11 20:02:20
SO-0292,C-093,MAT-0139,8,Open,West,2026-08-11 20:02:02
SO-0293,C-066,MAT-0377,79,Closed,Central,2026-08-11 20:03:10
SO-0294,C-058,MAT-0073,63,Closed,North,2026-08-11 20:03:09
SO-0295,C-086,MAT-0147,62,Closed,South,2026-08-11 20:02:09
SO-0296,C-058,MAT-0220,71,Open,Central,2026-08-11 20:02:55
SO-0297,C-074,MAT-0130,13,Closed,North,2026-08-11 20:03:12
SO-0298,C-053,MAT-0016,30,Closed,North,2026-08-11 20:02:54
SO-0299,C-029,MAT-0405,9,Open,Central,2026-08-11 20:02:57
SO-0300,C-048,MAT-0224,81,Closed,East,2026-08-11 20:02:29
SO-0301,C-047,MAT-0001,81,Open,East,2026-08-11 20:03:17
SO-0302,C-095,MAT-0221,37,Cancelled,East,2026-08-11 20:02:05
SO-0303,C-015,MAT-0240,50,Open,West,2026-08-11 20:02:13
SO-0304,C-008,MAT-0145,95,Open,South,2026-08-11 20:02:23
SO-0305,C-099,MAT-0078,50,Open,Central,2026-08-11 20:03:28
SO-0306,C-008,MAT-0277,71,Cancelled,South,2026-08-11 20:04:23
SO-0307,C-091,MAT-0203,85,Closed,West,2026-08-11 20:04:36
SO-0308,C-034,MAT-0169,57,Cancelled,West,2026-08-11 20:04:50
SO-0309,C-009,MAT-0380,1,Open,Central,2026-08-11 20:03:21
SO-0310,C-031,MAT-0116,91,Open,Central,2026-08-11 20:03:11
SO-0311,C-022,MAT-0097,77,Closed,North,2026-08-11 20:02:55
SO-0312,C-070,MAT-0014,89,Cancelled,South,2026-08-11 20:02:50
SO-0313,C-014,MAT-0116,15,Closed,South,2026-08-11 20:03:17
SO-0314,C-050,MAT-0057,1,Cancelled,Central,2026-08-11 20:04:13
SO-0315,C-022,MAT-0307,71,Open,Central,2026-08-11 20:02:16
SO-0316,C-047,MAT-0068,66,Open,East,2026-08-11 20:02:53
SO-0317,C-022,MAT-0059,68,Cancelled,East,2026-08-11 20:04:54
SO-0318,C-005,MAT-0315,90,Open,North,2026-08-11 20:04:16
SO-0319,C-023,MAT-0029,85,Cancelled,East,2026-08-11 20:02:08
SO-0320,C-018,MAT-0008,42,Cancelled,East,2026-08-11 20:04:46
SO-0321,C-067,MAT-0265,59,Open,East,2026-08-11 20:02:35
SO-0322,C-087,MAT-0221,48,Closed,South,2026-08-11 20:02:11
SO-0323,C-011,MAT-0009,12,Open,Central,2026-08-11 20:04:29
SO-0324,C-030,MAT-0347,7,Cancelled,West,2026-08-11 20:02:45
SO-0325,C-066,MAT-0261,30,Open,North,2026-08-11 20:02:25
SO-0326,C-043,MAT-0300,73,Closed,South,2026-08-11 20:02:27
SO-0327,C-014,MAT-0195,67,Cancelled,South,2026-08-11 20:04:09
SO-0328,C-011,MAT-0035,54,Cancelled,West,2026-08-11 20:03:04
SO-0329,C-003,MAT-0227,73,Cancelled,West,2026-08-11 20:03:49
SO-0330,C-076,MAT-0101,19,Open,South,2026-08-11 20:02:41
SO-0331,C-022,MAT-0128,61,Cancelled,West,2026-08-11 20:03:17
SO-0332,C-036,MAT-0318,58,Closed,South,2026-08-11 20:03:11
SO-0333,C-045,MAT-0453,53,Cancelled,North,2026-08-11 20:03:59
SO-0334,C-047,MAT-0007,95,Cancelled,South,2026-08-11 20:03:01
SO-0335,C-065,MAT-0391,72,Open,East,2026-08-11 20:04:25
SO-0336,C-028,MAT-0320,82,Cancelled,Central,2026-08-11 20:04:22
SO-0337,C-005,MAT-0366,58,Closed,North,2026-08-11 20:04:25
SO-0338,C-015,MAT-0411,5,Cancelled,North,2026-08-11 20:02:58
SO-0339,C-022,MAT-0489,56,Open,South,2026-08-11 20:03:36
SO-0340,C-051,MAT-0192,38,Closed,Central,2026-08-11 20:02:17
SO-0341,C-015,MAT-0225,9,Open,North,2026-08-11 20:02:15
SO-0342,C-052,MAT-0487,36,Cancelled,North,2026-08-11 20:04:58
SO-0343,C-084,MAT-0348,49,Open,West,2026-08-11 20:03:13
SO-0344,C-051,MAT-0147,56,Cancelled,Central,2026-08-11 20:04:37
SO-0345,C-045,MAT-0168,62,Open,North,2026-08-11 20:02:31
SO-0346,C-054,MAT-0371,5,Open,East,2026-08-11 20:03:38
SO-0347,C-049,MAT-0194,43,Open,West,2026-08-11 20:03:06
SO-0348,C-059,MAT-0398,34,Closed,Central,2026-08-11 20:02:43
SO-0349,C-078,MAT-0390,27,Cancelled,East,2026-08-11 20:02:39
SO-0350,C-005,MAT-0123,13,Cancelled,South,2026-08-11 20:04:59
SO-0351,C-011,MAT-0114,100,Cancelled,East,2026-08-11 20:04:25
SO-0352,C-019,MAT-0028,86,Cancelled,North,2026-08-11 20:02:25
SO-0353,C-068,MAT-0143,68,Open,East,2026-08-11 20:03:31
SO-0354,C-074,MAT-0007,42,Cancelled,South,2026-08-11 20:03:13
SO-0355,C-094,MAT-0288,43,Cancelled,Central,2026-08-11 20:04:49
SO-0356,C-022,MAT-0413,53,Cancelled,North,2026-08-11 20:02:20
SO-0357,C-083,MAT-0183,93,Open,South,2026-08-11 20:03:34
SO-0358,C-092,MAT-0335,97,Open,West,2026-08-11 20:02:17
SO-0359,C-053,MAT-0358,50,Open,South,2026-08-11 20:04:03
SO-0360,C-092,MAT-0453,81,Cancelled,East,2026-08-11 20:04:08
SO-0361,C-038,MAT-0368,37,Open,South,2026-08-11 20:02:16
SO-0362,C-058,MAT-0121,22,Open,Central,2026-08-11 20:04:01
